gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_0-12,TenureGroup_13-24,TenureGroup_25-36,TenureGroup_37-48,TenureGroup_49-60,TenureGroup_61-72
1,0,1,1,1.3218163049693654,1,1,1,1,1,1,0,0,0,0.9815557839637743,1.6599003993413788,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-0.26741022933725495,0,0,0,0,1,1,0,0,0,-0.9715455124063844,-0.5622521877037466,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,1.4440644999160286,1,1,0,1,1,1,0,0,0,0.8370661472425127,1.756103949661117,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-1.2046463905950056,1,0,0,1,0,0,0,1,0,0.6410916974366633,-0.9083256719398274,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0.6698259319204956,0,0,1,0,0,0,1,0,0,-0.8087870710422046,-0.10156067732153597,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,1,0,1.2810669066538112,1,0,1,1,1,0,0,1,0,1.0629350046458643,1.814665498679414,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.041648797332788,1,0,0,0,1,1,1,0,0,-0.023228471396724102,-0.8156380119926696,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,-0.43040782259947247,1,0,0,1,0,0,1,1,1,0.9367141725675209,-0.06352313835317878,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,1,1,-0.06366323775948311,1,0,0,0,1,1,0,0,0,-0.35372775539133416,-0.2877929954941682,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,-1.0823981956483424,0,0,0,0,1,0,1,1,1,-0.5663102094180181,-0.8775396568649181,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-1.5212704521160125,-1.0031887890550197,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,-1.0823981956483424,1,1,1,0,0,0,0,0,1,0.4667076531178991,-0.8206701300884257,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-0.8379018057550162,1,1,1,0,0,0,0,0,1,0.4916196594491511,-0.5716132458207426,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,1.158818711707148,1,1,0,0,1,1,1,1,1,1.3735046835754727,1.9554988824160988,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0.4253295420271693,1,0,0,0,0,0,0,0,1,-1.5063232483172613,-0.6691572293450275,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,0,0,-0.1044126360750375,0,0,0,0,1,0,1,0,1,-0.820412673996789,-0.4961314743844014,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,-0.43040782259947247,1,0,0,1,0,1,0,0,1,-0.32715494863799877,-0.4872977998232925,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,1,0.7920741268671586,1,1,0,0,0,0,0,0,0,-1.3933888196155855,-0.46002767512096376,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,1,1,-0.29061733935216244,-0.9869058217670055,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0.9958211184449305,1,1,0,1,0,1,0,1,0,0.9865381852300249,1.3919016556914172,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1.607062093178246,0,0,0,1,1,0,1,1,1,-0.35871015665758454,0.7188283924905056,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0.3845801437116149,1,0,0,1,1,1,1,1,1,1.288803862049216,0.8902500224686418,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,-0.715653610808353,1,0,0,0,0,0,0,0,0,-1.501340847051011,-0.8916691412997265,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,1,1,1.2810669066538112,1,0,1,1,0,0,0,0,0,0.5331396700012379,1.2452890271548036,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1,1,1,0.5883271352893868,1,0,0,1,0,0,1,0,1,0.6626821029237485,0.7542509879942559,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,-1.2453957889105598,0,0,0,0,0,1,0,0,0,-1.1940927689655694,-0.9919599141775901,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,0,-1.488054443674343,-1.002749302758447,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,-1.2861451872261143,1,0,1,0,0,0,0,0,1,-0.47496618620342734,-0.9893449707129833,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,1.607062093178246,1,1,1,1,1,1,1,1,1,1.597712740556741,2.613475791329742,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,1,1,-0.022913839443928746,1,1,1,0,0,0,1,0,0,0.8171365421775109,0.2636744094451096,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,1,0,-1.2861451872261143,1,1,0,0,0,0,0,0,1,0.3139140142862202,-0.9789071711693845,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,1,0,1.5663126948626918,0,0,1,1,1,1,0,0,1,-0.5779358123726024,0.47286988661365936,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0,1,1,-0.715653610808353,1,0,1,0,0,0,0,0,0,0.335504419773305,-0.5055364811310548,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,1,0,0.5883271352893868,1,1,0,0,0,0,1,1,1,1.0031461894508595,0.9937490453114852,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,1,1,0.058584957187179994,1,1,0,1,0,0,1,1,1,1.086186210555033,0.4870213453632965,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,1,0.7105753302360499,1,1,0,1,1,0,1,1,1,1.2904646624712994,1.1936713616223533,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,-0.9194006023861249,1,0,0,0,0,0,0,0,0,-1.494697645362677,-0.924300998820241,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,-1.0008993990172337,1,0,0,0,1,0,1,1,1,0.9001765632816843,-0.690823903766056,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,-0.38965842428391806,1,0,0,0,0,0,0,0,0,-1.5063232483172613,-0.8196153629766515,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,-1.041648797332788,1,0,0,0,1,0,0,0,1,0.3288612180849715,-0.7960369231655324,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,-0.38965842428391806,1,1,0,1,1,0,0,0,0,0.6394308970145799,-0.1466739456647117,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,1.607062093178246,1,1,1,1,1,1,1,1,0,0.8619781535737647,1.9120336876850696,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,0,-0.1044126360750375,1,0,0,0,0,1,1,0,0,0.6693253046120825,0.11165609946065297,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,1,0,-0.06366323775948311,0,0,1,1,1,0,0,1,1,-0.48493098873592827,-0.3171946287348741,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,-1.2046463905950056,1,1,0,1,1,0,1,1,0,1.426650297082144,-0.8738040233440512,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,-0.3489090259683637,1,0,0,0,0,0,0,0,1,-1.4847328428301763,-0.8094852038406535,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,1.1995681100227022,1,0,1,1,0,0,1,1,1,0.3089316130199696,1.0531016696636128,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,1,1,0.1808331521338431,0,0,1,1,1,0,0,0,0,-0.8237342748409557,-0.3748991794748543,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1.1995681100227022,1,0,0,0,0,0,0,0,1,-1.5212704521160125,-0.5177981488054297,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-0.8786512040705705,1,0,1,0,0,0,0,0,1,0.2823588062666342,-0.6636636506378703,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-0.9194006023861249,0,0,0,1,0,1,0,0,0,-0.9549375081855498,-0.847259051031067,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0.1808331521338431,1,1,0,1,1,0,1,1,1,1.2256934460100444,0.5465058156043956,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,0,1.607062093178246,1,1,0,0,0,0,0,0,1,-1.3252960023101632,-0.224990403713946,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-0.5526560175461356,1,1,1,0,1,0,0,0,1,0.6560389012354145,-0.2856175383261339,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,1,-1.5079840487393448,-1.0030129945363906,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,-0.38965842428391806,1,1,0,0,0,1,1,1,1,0.2873412075328848,-0.2896608122546017,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,0,0.4253295420271693,1,1,1,0,1,1,1,1,1,1.4797959105888148,1.1112017580705082,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0.5475777369738324,1,1,0,1,1,0,1,0,1,0.9931813869183589,0.9321989894764948,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,-0.9601500007016792,1,0,0,0,0,0,0,0,0,-1.4814112419860093,-0.9307174987502007,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,1,1,-0.3489090259683637,1,0,0,0,0,0,0,0,1,-1.5046624478951778,-0.7944987211275284,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
0,1,0,0,-1.0008993990172337,1,1,0,0,0,1,1,1,1,1.167565431237123,-0.6123316511981926,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,1,-0.9194006023861249,1,1,0,0,0,0,0,1,0,0.6958981113654179,-0.6342839917119931,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,1.5663126948626918,1,0,1,0,1,1,0,1,1,0.19433638389621016,1.1741142214248734,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,1,1,-1.1231475939638966,0,0,0,1,0,0,0,0,1,-1.1459295567251486,-0.9381448171622774,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,0,0.34383074539606057,1,1,1,0,1,0,0,0,1,0.6228228927937453,0.4270534401959676,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
